"rowname","site","state","year","date","delph.plant.num","delph.flower.num","viable","bombus.abund","bombus.rich","bomabund.scale","num.delph","prop.delph","prop.long","num.long","mean.fidelity","color.sim","corolla.sim","species.removed","num.removed","prop.removed"
"33","Brush Creek Fork","manipulation","2011",2011-07-20,"50","50.50",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"34","Brush Creek Fork","manipulation","2011",2011-07-20,"51","51.51",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"35","Brush Creek Fork","manipulation","2011",2011-07-20,"52","52.52",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"36","Brush Creek Fork","manipulation","2011",2011-07-20,"53","53.53",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"37","Brush Creek Fork","manipulation","2011",2011-07-20,"54","54.54",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"38","Brush Creek Fork","manipulation","2011",2011-07-20,"54","54.54",28,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"39","Brush Creek Fork","manipulation","2011",2011-07-20,"55","55.55",10,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"40","Brush Creek Fork","manipulation","2011",2011-07-20,"55","55.55",16,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"41","Brush Creek Fork","manipulation","2011",2011-07-20,"56","56.56",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"42","Brush Creek Fork","manipulation","2011",2011-07-20,"57","57.57",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
